"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
247,2017-03-10 00:58:12,"F4667","Tesoro employee","Yes",3.04041666666943
43,2017-03-08 11:09:03,"K0202","Indeed.com","Yes",1.46462962962687
25,2017-03-08 01:44:32,"P9953","Indeed.com","Yes",1.07260416666391
273,2017-03-10 19:30:54,"P7078","Tesoro employee","Yes",3.81313657407131
625,2017-03-17 12:48:01,"G9144","Personal referral","Yes",10.5333449074102
657,2017-03-18 05:25:43,"C5986","Tesoro employee","Yes",11.2261921296296
887,2017-03-21 16:27:27,"H6980","Tesoro employee","Yes",14.6857291666667
501,2017-03-14 23:16:51,"S3959","Indeed.com","Yes",7.97003472222498
806,2017-03-20 20:11:49,"V5858","Personal referral","Yes",13.8415393518519
359,2017-03-12 17:15:19,"R8383","Tesoro website or mailing","Yes",5.71896990740741
373,2017-03-12 21:44:34,"S6590","Tesoro employee","Yes",5.90596064814539
557,2017-03-15 22:44:35,"G2138","Tesoro employee","Yes",8.94763888888613
778,2017-03-20 14:17:23,"C8043","Indeed.com","Yes",13.5954166666639
374,2017-03-12 21:48:43,"W8001","Tesoro employee","Yes",5.90884259258707
223,2017-03-09 20:48:24,"M4191","Personal referral","Yes",2.8669444444472
481,2017-03-14 18:30:56,"L0858","Tesoro website or mailing","Yes",7.7714930555528
154,2017-03-09 00:50:46,"C9814","I am currently an employee or contractor at Tesoro","Yes",2.03525462963515
208,2017-03-09 17:56:20,"H8129","Online job site (other than Indeed)","Yes",2.74746527777502
276,2017-03-10 20:32:40,"P1789","Tesoro employee","Yes",3.85601851851852
831,2017-03-20 23:29:19,"R2559","Tesoro employee","Yes",13.9787037037009
291,2017-03-11 00:43:04,"W8271","Personal referral","Yes",4.02990740740741
699,2017-03-18 23:51:53,"C1504","Tesoro website or mailing","Yes",11.9943749999945
745,2017-03-19 23:00:32,"S2476","Indeed.com","Yes",12.9587037037065
679,2017-03-18 17:38:49,"O6537","Indeed.com","Yes",11.7353009259232
452,2017-03-14 03:12:31,"S8801","Tesoro website or mailing","Yes",7.13369212963239
264,2017-03-10 15:22:25,"M3813","Tesoro employee","Yes",3.64056712962963
62,2017-03-08 13:58:29,"H3804","Tesoro website or mailing","Yes",1.58228009259535
459,2017-03-14 13:51:13,"S3692","I am currently an employee or contractor at Tesoro","Yes",7.57723379629906
280,2017-03-10 22:13:39,"L6099","Tesoro website or mailing","Yes",3.92614583333609
559,2017-03-15 23:46:08,"J9530","Job training program","Yes",8.99037037037589
253,2017-03-10 08:23:07,"N6722","Tesoro website or mailing","Yes",3.34938657407407
636,2017-03-17 18:08:02,"N5323","Tesoro employee","Yes",10.7555787037065
254,2017-03-10 09:16:49,"W0065","Indeed.com","Yes",3.3866782407435
515,2017-03-15 02:56:26,"M8189","Indeed.com","Yes",8.12252314815091
796,2017-03-20 17:21:38,"G3395","Tesoro employee","Yes",13.7233564814815
579,2017-03-16 15:26:34,"K2920","Tesoro employee","Yes",9.64344907407959
172,2017-03-09 09:02:04,"S5586","Personal referral","Yes",2.37643518518519
568,2017-03-16 06:05:02,"G4839","Indeed.com","Yes",9.25350694444169
268,2017-03-10 18:02:52,"K6311","Indeed.com","Yes",3.7520023148093
451,2017-03-14 02:05:57,"S0985","Personal referral","Yes",7.08746527777778
402,2017-03-13 15:16:28,"J3167","I am currently an employee or contractor at Tesoro","Yes",6.6364467592565
335,2017-03-12 07:43:59,"S4223","Personal referral","Yes",5.32221064814815
599,2017-03-16 22:37:34,"B6281","Indeed.com","Yes",9.94275462962963
784,2017-03-20 15:06:19,"B2556","Personal referral","Yes",13.6293865740741
393,2017-03-13 12:38:53,"R1325","Tesoro website or mailing","Yes",6.52700231481757
164,2017-03-09 02:39:05,"D5839","Indeed.com","Yes",2.1104745370398
443,2017-03-14 00:08:16,"W4474","Online job site (other than Indeed)","Yes",7.0057407407435
671,2017-03-18 16:33:35,"M2480","Tesoro employee","Yes",11.6899884259259
301,2017-03-11 13:43:05,"B2701","I am currently an employee or contractor at Tesoro","Yes",4.57158564814815
552,2017-03-15 21:03:58,"D0366","Tesoro website or mailing","Yes",8.87775462963239
282,2017-03-10 22:17:35,"B0205","Job training program","Yes",3.92887731481481
736,2017-03-19 20:46:44,"J8427","Tesoro employee","Yes",12.8657986111056
176,2017-03-09 11:23:10,"F6232","Tesoro website or mailing","Yes",2.47442129629906
871,2017-03-21 13:44:42,"T7459","Personal referral","Yes",14.5727199074019
342,2017-03-12 12:39:10,"T2070","Indeed.com","Yes",5.52719907407407
857,2017-03-21 02:10:34,"S8031","Online job site (other than Indeed)","Yes",14.0906712962963
201,2017-03-09 16:39:52,"R9346","Indeed.com","Yes",2.69436342592317
178,2017-03-09 11:52:43,"W9413","Tesoro website or mailing","Yes",2.49494212963239
314,2017-03-11 18:37:36,"L3964","Tesoro website or mailing","Yes",4.77611111111111
140,2017-03-08 23:31:52,"S0053","Tesoro employee","Yes",1.98047453703428
395,2017-03-13 13:00:20,"H1301","Newspaper ad","Yes",6.54190972221946
182,2017-03-09 13:23:53,"C9542","Tesoro website or mailing","Yes",2.55825231481757
429,2017-03-13 21:05:02,"O8558","Personal referral","Yes",6.87849537037313
865,2017-03-21 11:33:29,"N0181","Personal referral","Yes",14.4815972222195
46,2017-03-08 11:30:17,"H6489","Indeed.com","Yes",1.47937499999448
339,2017-03-12 12:14:03,"J1273","I am currently an employee or contractor at Tesoro","Yes",5.5097569444472
713,2017-03-19 11:34:27,"R7746","Online job site (other than Indeed)","Yes",12.4822569444444
746,2017-03-19 23:20:56,"J8990","Personal referral","Yes",12.9728819444417
696,2017-03-18 23:46:05,"D8425","Tesoro employee","Yes",11.9903356481509
124,2017-03-08 22:32:14,"L3082","Indeed.com","Yes",1.93905092592593
61,2017-03-08 13:41:49,"A2592","Tesoro website or mailing","Yes",1.57070601852404
324,2017-03-11 22:22:56,"H6435","Tesoro website or mailing","Yes",4.93259259259535
405,2017-03-13 15:53:42,"M9739","Tesoro employee","Yes",6.66230324073798
832,2017-03-20 23:29:23,"N7744","Tesoro employee","Yes",13.9787384259259
300,2017-03-11 13:34:02,"L4851","Tesoro employee","Yes",4.56530092592593
465,2017-03-14 16:13:58,"B0488","Indeed.com","Yes",7.67637731481206
594,2017-03-16 20:05:35,"H2456","Indeed.com","Yes",9.83721064814815
426,2017-03-13 20:43:42,"H0630","Personal referral","Yes",6.86368055555832
469,2017-03-14 16:38:06,"D1185","Newspaper ad","Yes",7.69312500000552
381,2017-03-13 00:42:38,"V6996","Personal referral","Yes",6.02960648148424
855,2017-03-21 01:52:30,"R2617","Personal referral","Yes",14.078125
714,2017-03-19 12:05:47,"J3494","Personal referral","Yes",12.5040277777723
564,2017-03-16 01:40:59,"H6963","Personal referral","Yes",9.07013888888337
312,2017-03-11 16:49:12,"D9507","Tesoro website or mailing","Yes",4.70083333333609
