Team,Golfer,Jan 26-29 Farmers Insurance Open,Feb 2-5 Waste Management Phoenix Open ,Feb 9-12 AT&T Pebble Beach Pro-Am,Feb 16-19  Genesis Open ,Feb 23-26  Honda Classic,Mar 2-5 WGC-Mexico Championship ,Mar 9-12  Valspar Champion,Mar 16-19  Arnold Palmer Invitational,Mar 22-26  WGC-Dell Match Play,Mar 30-Apr 2  Shell Houston Open,Apr 6-9  Masters,Apr 13-16  RBC Heritage,Apr 20-23  Valero Texas Open,Apr 27-30  Zurich Classic of New Orleans,May 4-7  Wells Fargo Championship,May 11-14  The Players Championship,May 18-21  AT&T Byron Nelson,May 25-28  Dean & DeLuca Invitational,Jun 1-4  Memorial Tournament,Jun 8-11  FedEx St. Jude Classic,Jun 15-18  U.S. Open,Jun 22-25  Travelers Championship,Jun 29-Jul 2  Quicken Loans National,Jul 6-9  The Greenbrier Classic,Jul 13-16  John Deere Classic,Jul 20-23  British Open,Jul 20-23  Barbasol Championship ,Jul 27-30  RBC Canadian Open,Aug 3-6  WGC-Bridgestone Invitational,Aug 10-13  PGA Championship,Aug 17-20  Wyndham Championship,Aug 24-27  The Northern Trust,Sep 1-4  Deutsche Bank Championship,Sep 14-17  BMW Championship,Sep 21-24  Tour Championship
15 Clubs,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Clubs,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Clubs,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Clubs,Jim Furyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Clubs,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Clubs,Matt Kuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Deep,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Deep,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Deep,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Deep,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Deep,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Deep,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Suarez,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Suarez,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Suarez,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Suarez,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Suarez,Luke Donald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Suarez,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegreen,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegreen,Charles Howell III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegreen,Daniel Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegreen,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegreen,Jason Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beegreen,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begreen 2,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begreen 2,Jason Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begreen 2,Jim Herman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begreen 2,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begreen 2,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begreen 2,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Evans,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Evans,Kevin Na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Evans,Matt Kuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Evans,Sergio Garcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Evans,Tiger Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Evans,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie Train,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie Train,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie Train,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie Train,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie Train,Tiger Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie Train,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake the Snake,J.B. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake the Snake,Jordan Spieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake the Snake,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake the Snake,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake the Snake,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake the Snake,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kodelka,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kodelka,Chris Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kodelka,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kodelka,Jason Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kodelka,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kodelka,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot Daddy,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot Daddy,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot Daddy,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boot Daddy,J.B. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
