"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
1,2017-09-15 22:38:26,"F4535","Andeavor employee","Yes",0.943356481481481
2,2017-09-15 23:07:02,"P6745","Andeavor website or mailing","Yes",0.963217592592593
3,2017-09-15 23:39:15,"S5041","Andeavor employee","Yes",0.985590277777778
4,2017-09-16 00:12:45,"E7089","Andeavor employee","Yes",1.00885416666667
5,2017-09-16 00:16:39,"A7588","Andeavor employee","Yes",1.0115625
6,2017-09-16 00:42:03,"B1451","Andeavor employee","Yes",1.02920138888889
7,2017-09-16 02:49:58,"M6064","Andeavor employee","Yes",1.11803240740741
8,2017-09-16 02:58:57,"I3321","Andeavor employee","Yes",1.12427083333333
9,2017-09-16 11:19:36,"M4004","Andeavor employee","Yes",1.47194444444444
10,2017-09-16 14:34:47,"H8921","I am currently an employee or contractor at Andeavor","Yes",1.60748842592593
11,2017-09-16 17:38:43,"W8227","I am currently an employee or contractor at Andeavor","Yes",1.73521990740741
12,2017-09-17 03:28:39,"M5270","Andeavor employee","Yes",2.14489583333333
13,2017-09-17 18:42:58,"T0607","Personal referral","Yes",2.77983796296296
14,2017-09-17 22:08:43,"S5384","Andeavor employee","Yes",2.92271990740741
15,2017-09-18 00:36:17,"J1011","Andeavor employee","Yes",3.02519675925926
16,2017-09-18 12:50:21,"M0326","Personal referral","Yes",3.53496527777778
17,2017-09-18 13:17:13,"M4547","I am currently an employee or contractor at Andeavor","Yes",3.55362268518519
18,2017-09-18 14:34:25,"S1375","Andeavor employee","Yes",3.6072337962963
19,2017-09-18 16:16:31,"E1321","Andeavor website or mailing","Yes",3.67813657407407
20,2017-09-18 17:01:38,"E3017","Personal referral","Yes",3.70946759259259
21,2017-09-18 18:19:25,"P6785","Andeavor employee","Yes",3.7634837962963
22,2017-09-18 18:41:36,"F8822","Indeed.com","Yes",3.77888888888889
23,2017-09-18 18:55:05,"D7083","Indeed.com","Yes",3.78825231481481
24,2017-09-18 19:02:34,"B3700","Indeed.com","Yes",3.79344907407407
25,2017-09-18 20:29:54,"A4436","Personal referral","Yes",3.85409722222222
26,2017-09-18 21:13:02,"F0868","Andeavor employee","Yes",3.88405092592593
27,2017-09-18 21:49:16,"E2808","Personal referral","Yes",3.90921296296296
28,2017-09-18 21:57:01,NA,"Don't remember","No",3.91459490740741
29,2017-09-18 22:28:54,"K6443","Andeavor employee","Yes",3.93673611111111
30,2017-09-18 22:40:52,"S1989","Andeavor employee","Yes",3.9450462962963
31,2017-09-19 01:13:03,"P8979","Indeed.com","Yes",4.05072916666667
32,2017-09-19 01:46:24,"T1289","Andeavor employee","Yes",4.07388888888889
33,2017-09-19 02:06:58,"B7435","Andeavor website or mailing","Yes",4.0881712962963
34,2017-09-19 03:51:37,"L0858","Online job site (other than Indeed)","Yes",4.16084490740741
35,2017-09-19 12:15:38,"J5169","Andeavor website or mailing","Yes",4.51085648148148
36,2017-09-19 14:03:05,"K3494","Indeed.com","Yes",4.58547453703704
37,2017-09-19 14:04:29,"M1727","Online job site (other than Indeed)","Yes",4.58644675925926
38,2017-09-19 14:06:27,"A5673","I am currently an employee or contractor at Andeavor","Yes",4.5878125
39,2017-09-19 15:16:57,"C3558","Andeavor employee","Yes",4.63677083333333
40,2017-09-19 16:05:29,"A1953","Online job site (other than Indeed)","Yes",4.67047453703704
41,2017-09-19 16:58:00,"H0579","Personal referral","Yes",4.70694444444444
42,2017-09-19 18:00:14,"K0082","Andeavor website or mailing","Yes",4.75016203703704
43,2017-09-19 18:32:42,"A5187","Andeavor employee","Yes",4.77270833333333
44,2017-09-19 18:42:35,"M6730","Andeavor website or mailing","Yes",4.77957175925926
45,2017-09-19 19:08:39,"C1072","Andeavor employee","Yes",4.79767361111111
46,2017-09-19 22:12:05,"E0975","Andeavor employee","Yes",4.92505787037037
47,2017-09-19 22:26:37,"B4462","Andeavor website or mailing","Yes",4.93515046296296
48,2017-09-19 23:31:42,"A3117","Indeed.com","Yes",4.98034722222222
49,2017-09-19 23:32:05,"M7795","Andeavor website or mailing","Yes",4.98061342592593
50,2017-09-20 03:07:48,"B5915","Andeavor website or mailing","Yes",5.13041666666667
51,2017-09-20 04:47:25,"G0974","Indeed.com","Yes",5.19959490740741
52,2017-09-20 11:22:14,"S9419","Andeavor website or mailing","Yes",5.47377314814815
53,2017-09-20 12:53:53,"H0944","Andeavor website or mailing","Yes",5.53741898148148
54,2017-09-20 14:01:05,"B3485","Personal referral","Yes",5.58408564814815
55,2017-09-20 15:28:07,"A3767","I am currently an employee or contractor at Andeavor","Yes",5.64452546296296
