"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
1,2017-10-04 13:17:29,NA,"Personal referral","No",0.55380787037037
2,2017-10-04 15:18:01,"M9465","Personal referral","Yes",0.637511574074074
3,2017-10-04 15:50:21,"E9240","Andeavor employee","Yes",0.659965277777778
4,2017-10-04 15:59:34,"H7977","I am currently an employee or contractor at Andeavor","Yes",0.666365740740741
5,2017-10-04 16:09:06,"F1968","Andeavor employee","Yes",0.672986111111111
6,2017-10-04 16:12:42,"S1575","I am currently an employee or contractor at Andeavor","Yes",0.675486111111111
7,2017-10-04 16:36:10,"F6342","I am currently an employee or contractor at Andeavor","Yes",0.691782407407407
8,2017-10-04 16:42:40,NA,"Personal referral","No",0.696296296296296
9,2017-10-04 16:57:45,"R3748","Andeavor website or mailing","Yes",0.706770833333333
10,2017-10-04 17:02:38,"M9324","Personal referral","Yes",0.710162037037037
11,2017-10-04 17:12:46,NA,"Social media (e.g. Facebook or Twitter)","No",0.717199074074074
12,2017-10-04 17:13:01,"B5404","Personal referral","Yes",0.717372685185185
13,2017-10-04 17:15:17,"K2920","Andeavor employee","Yes",0.718946759259259
14,2017-10-04 17:15:54,"J3494","Andeavor employee","Yes",0.719375
15,2017-10-04 17:19:56,"T9481","Andeavor employee","Yes",0.722175925925926
16,2017-10-04 17:23:34,"R7967","I am currently an employee or contractor at Andeavor","Yes",0.724699074074074
17,2017-10-04 17:33:41,"R4761","Don't remember","Yes",0.731724537037037
18,2017-10-04 17:38:13,NA,"Online job site (other than Indeed)","No",0.734872685185185
19,2017-10-04 17:39:54,"H6406","Andeavor website or mailing","Yes",0.736041666666667
20,2017-10-04 17:50:31,"T3886","Andeavor employee","Yes",0.743414351851852
21,2017-10-04 18:32:48,"S1081","Andeavor employee","Yes",0.772777777777778
22,2017-10-04 18:33:18,"K7887","Personal referral","Yes",0.773125
23,2017-10-04 18:39:08,"B4213","Andeavor employee","Yes",0.777175925925926
24,2017-10-04 18:39:30,"C2681","Personal referral","Yes",0.777430555555556
25,2017-10-04 18:57:21,"G8520","Andeavor employee","Yes",0.789826388888889
26,2017-10-04 18:58:54,"C3752","Andeavor employee","Yes",0.790902777777778
27,2017-10-04 18:59:40,"B2431","Andeavor employee","Yes",0.791435185185185
28,2017-10-04 19:10:09,"J0170","Andeavor employee","Yes",0.798715277777778
29,2017-10-04 19:17:22,NA,"Andeavor employee","No",0.803726851851852
30,2017-10-04 19:27:30,NA,"Personal referral","No",0.810763888888889
31,2017-10-04 19:31:39,NA,"Personal referral","No",0.813645833333333
32,2017-10-04 19:45:03,NA,"Personal referral","No",0.822951388888889
33,2017-10-04 19:54:22,NA,"Social media (e.g. Facebook or Twitter)","No",0.829421296296296
34,2017-10-04 19:56:37,"F9551","Andeavor employee","Yes",0.830983796296296
35,2017-10-04 20:03:52,"M0804","Social media (e.g. Facebook or Twitter)","Yes",0.836018518518518
36,2017-10-04 20:21:04,"C0042","I am currently an employee or contractor at Andeavor","Yes",0.847962962962963
37,2017-10-04 20:21:04,"C9637","Personal referral","Yes",0.847962962962963
39,2017-10-04 20:58:11,"B1819","Personal referral","Yes",0.873738425925926
40,2017-10-04 20:59:17,"B2882","Andeavor employee","Yes",0.874502314814815
41,2017-10-04 21:03:36,"T6554","Andeavor employee","Yes",0.8775
42,2017-10-04 21:06:40,"S7533","Social media (e.g. Facebook or Twitter)","Yes",0.87962962962963
43,2017-10-04 21:06:42,"B7238","Personal referral","Yes",0.879652777777778
44,2017-10-04 21:10:37,"M9311","Andeavor employee","Yes",0.882372685185185
45,2017-10-04 21:20:31,"M8409","Andeavor employee","Yes",0.889247685185185
46,2017-10-04 21:20:52,"A1093","Andeavor employee","Yes",0.889490740740741
47,2017-10-04 21:23:30,"M8202","Personal referral","Yes",0.891319444444444
48,2017-10-04 21:25:11,NA,"Andeavor employee","No",0.892488425925926
49,2017-10-04 21:26:33,NA,"Personal referral","No",0.8934375
50,2017-10-04 21:35:15,"S1571","Andeavor employee","Yes",0.899479166666667
51,2017-10-04 21:42:12,"N5906","Andeavor employee","Yes",0.904305555555556
52,2017-10-04 21:44:35,"M5853","Andeavor employee","Yes",0.905960648148148
53,2017-10-04 21:45:08,"R0142","Social media (e.g. Facebook or Twitter)","Yes",0.906342592592593
54,2017-10-04 21:49:07,"B7956","Personal referral","Yes",0.909108796296296
55,2017-10-04 21:50:59,"C5509","Andeavor employee","Yes",0.910405092592593
56,2017-10-04 22:00:32,NA,"Andeavor employee","No",0.917037037037037
57,2017-10-04 22:01:14,"M2955","Andeavor employee","Yes",0.917523148148148
58,2017-10-04 22:05:03,"M4144","Andeavor employee","Yes",0.920173611111111
59,2017-10-04 22:08:55,"J9893","Personal referral","Yes",0.922858796296296
60,2017-10-04 22:29:10,"R0021","Personal referral","Yes",0.936921296296296
61,2017-10-04 22:35:12,"R7127","Personal referral","Yes",0.941111111111111
62,2017-10-04 22:41:16,"R4436","Andeavor employee","Yes",0.945324074074074
63,2017-10-04 22:41:51,"G8982","Personal referral","Yes",0.945729166666667
64,2017-10-04 22:45:09,NA,"I am currently an employee or contractor at Andeavor","No",0.948020833333333
65,2017-10-04 22:55:46,"R5274","Andeavor employee","Yes",0.955393518518519
66,2017-10-04 22:57:07,"G0164","Andeavor employee","Yes",0.956331018518519
67,2017-10-04 22:58:08,"F4981","Personal referral","Yes",0.957037037037037
68,2017-10-04 23:03:03,"P6106","Social media (e.g. Facebook or Twitter)","Yes",0.960451388888889
69,2017-10-04 23:03:20,"S3330","Personal referral","Yes",0.960648148148148
70,2017-10-04 23:05:43,"C3478","Andeavor employee","Yes",0.962303240740741
71,2017-10-04 23:13:53,"C8218","Andeavor employee","Yes",0.967974537037037
72,2017-10-04 23:22:19,"F5615","Andeavor employee","Yes",0.973831018518518
73,2017-10-04 23:32:33,"B9971","Andeavor employee","Yes",0.9809375
74,2017-10-04 23:38:53,"V3956","Personal referral","Yes",0.985335648148148
75,2017-10-04 23:43:05,"H2700","Personal referral","Yes",0.988252314814815
76,2017-10-04 23:44:56,"A3044","Andeavor employee","Yes",0.989537037037037
77,2017-10-04 23:47:55,"P6162","Social media (e.g. Facebook or Twitter)","Yes",0.991608796296296
78,2017-10-04 23:56:50,NA,"Employment agency","No",0.997800925925926
79,2017-10-05 00:02:34,"A9322","Andeavor employee","Yes",1.00178240740741
80,2017-10-05 00:07:54,"L7427","Andeavor employee","Yes",1.00548611111111
81,2017-10-05 00:09:26,"N3951","Andeavor employee","Yes",1.00655092592593
82,2017-10-05 00:22:14,"L4773","Andeavor employee","Yes",1.01543981481481
83,2017-10-05 00:22:14,"S8176","Andeavor employee","Yes",1.01543981481481
84,2017-10-05 00:22:47,"D0223","Andeavor employee","Yes",1.01582175925926
85,2017-10-05 00:33:04,"C7565","Andeavor employee","Yes",1.02296296296296
86,2017-10-05 00:37:05,NA,"Personal referral","No",1.02575231481481
87,2017-10-05 00:39:40,"S4339","Andeavor employee","Yes",1.0275462962963
88,2017-10-05 00:43:19,NA,"Online job site (other than Indeed)","No",1.03008101851852
89,2017-10-05 00:45:03,NA,"Social media (e.g. Facebook or Twitter)","No",1.03128472222222
90,2017-10-05 00:46:58,"B8485","Personal referral","Yes",1.03261574074074
91,2017-10-05 00:55:05,"C8867","Social media (e.g. Facebook or Twitter)","Yes",1.03825231481481
92,2017-10-05 00:55:41,"C1777","Personal referral","Yes",1.03866898148148
93,2017-10-05 01:03:07,"N5451","Personal referral","Yes",1.04383101851852
94,2017-10-05 01:05:24,"G6620","Andeavor employee","Yes",1.04541666666667
95,2017-10-05 01:13:35,"W1856","Personal referral","Yes",1.05109953703704
96,2017-10-05 01:19:23,"N5996","Personal referral","Yes",1.05512731481481
97,2017-10-05 01:28:26,"V9520","Social media (e.g. Facebook or Twitter)","Yes",1.06141203703704
98,2017-10-05 01:28:30,"D7378","I am currently an employee or contractor at Andeavor","Yes",1.06145833333333
99,2017-10-05 01:30:54,"L1693","Personal referral","Yes",1.063125
100,2017-10-05 01:36:21,"A3301","Andeavor employee","Yes",1.06690972222222
101,2017-10-05 01:39:50,"C5154","Andeavor employee","Yes",1.0693287037037
102,2017-10-05 01:42:57,"G4198","Personal referral","Yes",1.07149305555556
103,2017-10-05 01:48:05,"S1010","Andeavor employee","Yes",1.07505787037037
104,2017-10-05 01:56:41,"S9340","Personal referral","Yes",1.08103009259259
105,2017-10-05 02:00:37,"M7791","Personal referral","Yes",1.08376157407407
106,2017-10-05 02:14:41,"A7823","Personal referral","Yes",1.09353009259259
107,2017-10-05 02:17:44,"Z5291","I am currently an employee or contractor at Andeavor","Yes",1.09564814814815
108,2017-10-05 03:05:34,"C0121","Personal referral","Yes",1.12886574074074
109,2017-10-05 07:26:54,"R2630","I am currently an employee or contractor at Andeavor","Yes",1.31034722222222
110,2017-10-05 09:00:02,"R3618","I am currently an employee or contractor at Andeavor","Yes",1.37502314814815
111,2017-10-05 09:32:50,"N4748","Andeavor employee","Yes",1.39780092592593
112,2017-10-05 10:26:03,"V1379","Andeavor employee","Yes",1.43475694444444
113,2017-10-05 10:43:49,NA,"Personal referral","No",1.44709490740741
114,2017-10-05 10:50:42,"H0340","Personal referral","Yes",1.451875
115,2017-10-05 10:55:33,NA,"Social media (e.g. Facebook or Twitter)","No",1.45524305555556
116,2017-10-05 10:59:20,"P1196","Social media (e.g. Facebook or Twitter)","Yes",1.45787037037037
117,2017-10-05 11:18:19,"L3289","I am currently an employee or contractor at Andeavor","Yes",1.47105324074074
118,2017-10-05 11:29:33,"P6230","Personal referral","Yes",1.47885416666667
119,2017-10-05 11:47:11,"W4778","Personal referral","Yes",1.49109953703704
120,2017-10-05 11:49:14,"L1125","Andeavor employee","Yes",1.49252314814815
121,2017-10-05 11:54:13,"V9906","Personal referral","Yes",1.4959837962963
122,2017-10-05 11:55:17,"N5533","Andeavor employee","Yes",1.49672453703704
123,2017-10-05 11:57:12,NA,"Andeavor employee","No",1.49805555555556
124,2017-10-05 12:24:12,"J1868","Social media (e.g. Facebook or Twitter)","Yes",1.51680555555556
125,2017-10-05 12:25:48,NA,"Andeavor employee","No",1.51791666666667
126,2017-10-05 12:29:02,"D2497","Andeavor employee","Yes",1.52016203703704
127,2017-10-05 12:54:03,"R2606","Social media (e.g. Facebook or Twitter)","Yes",1.53753472222222
128,2017-10-05 12:57:49,NA,"Andeavor employee","No",1.54015046296296
129,2017-10-05 13:02:17,"J8513","Personal referral","Yes",1.54325231481481
130,2017-10-05 13:11:24,NA,"Personal referral","No",1.54958333333333
131,2017-10-05 13:12:57,"H4126","Andeavor employee","Yes",1.55065972222222
132,2017-10-05 13:19:15,"G8401","Social media (e.g. Facebook or Twitter)","Yes",1.55503472222222
133,2017-10-05 13:21:27,NA,"Social media (e.g. Facebook or Twitter)","No",1.5565625
134,2017-10-05 13:26:50,"B0495","Andeavor employee","Yes",1.56030092592593
135,2017-10-05 13:27:48,"U0082","Personal referral","Yes",1.56097222222222
136,2017-10-05 13:33:09,"R9364","Personal referral","Yes",1.5646875
137,2017-10-05 13:40:36,"E2853","Andeavor employee","Yes",1.56986111111111
138,2017-10-05 13:45:18,"L2821","I am currently an employee or contractor at Andeavor","Yes",1.573125
139,2017-10-05 13:46:18,"G9839","Social media (e.g. Facebook or Twitter)","Yes",1.57381944444444
140,2017-10-05 13:50:08,"G2541","Personal referral","Yes",1.57648148148148
141,2017-10-05 14:07:43,NA,"Social media (e.g. Facebook or Twitter)","No",1.58869212962963
142,2017-10-05 14:16:08,"V3012","Andeavor employee","Yes",1.59453703703704
143,2017-10-05 14:18:33,"P9948","Andeavor employee","Yes",1.59621527777778
144,2017-10-05 14:22:44,NA,"Andeavor website or mailing","No",1.59912037037037
145,2017-10-05 14:24:38,NA,"Social media (e.g. Facebook or Twitter)","No",1.60043981481481
146,2017-10-05 14:27:12,"M3203","Andeavor employee","Yes",1.60222222222222
147,2017-10-05 14:34:45,NA,"Online job site (other than Indeed)","No",1.60746527777778
148,2017-10-05 14:51:59,"J2662","Indeed.com","Yes",1.61943287037037
149,2017-10-05 14:57:37,"T9816","Andeavor employee","Yes",1.62334490740741
150,2017-10-05 15:07:03,"S6692","Social media (e.g. Facebook or Twitter)","Yes",1.62989583333333
151,2017-10-05 15:07:43,"B7201","Andeavor website or mailing","Yes",1.6303587962963
152,2017-10-05 15:10:41,"B1542","Personal referral","Yes",1.63241898148148
153,2017-10-05 15:11:53,"G7256","Online job site (other than Indeed)","Yes",1.63325231481481
