"","X","lon","lat","job"
"1",1,-118.2981073,33.7206662,"Instrument Technician"
"2",2,-122.444941,48.764459,"Instrument Technician"
"3",3,-117.309459,34.169047,"Instrument Technician"
"4",4,-117.264493,33.807079,"Instrument Technician"
"5",5,-118.2739309,33.7866121,"Instrument Technician"
"6",6,-117.198674,33.936543,"Instrument Technician"
"7",7,-119.070966,34.225247,"Instrument Technician"
"8",8,-118.2674624,33.8227606,"Instrument Technician"
"9",9,-122.720349,48.968628,"Instrument Technician"
"10",10,-122.575744,48.792432,"Instrument Technician"
"11",11,-122.4940262,48.7143733,"Instrument Technician"
"12",12,-118.427758,34.300243,"Instrument Technician"
"13",13,-118.303019,33.742685,"Instrument Technician"
"14",14,-118.175702,33.84328,"Instrument Technician"
"15",15,-118.2934228,33.8445925,"Instrument Technician"
"16",16,-118.294321,33.731001,"Instrument Technician"
"17",17,-117.909361,33.789797,"Instrument Technician"
"18",18,-118.29356,33.808226,"Instrument Technician"
"19",19,-117.7532795,34.0479895,"Instrument Technician"
"20",20,-118.27893,33.811471,"Instrument Technician"
"21",21,-117.439853,34.112358,"Instrument Technician"
"22",22,-117.88623,33.753637,"Instrument Technician"
"23",23,-118.254826,34.0812621,"Instrument Technician"
"24",24,-117.599472,33.959646,"Instrument Technician"
"25",25,-118.2110072,33.9010317,"Instrument Technician"
"26",26,-118.880238,34.275101,"Instrument Technician"
"27",27,-118.196402,33.9299312,"Instrument Technician"
"28",28,-118.1503303,33.9137409,"Instrument Technician"
"29",29,-118.1880021,33.7977061,"Instrument Technician"
"30",30,-118.198566,33.781854,"Instrument Technician"
"31",31,-118.3089099,33.8302393,"Instrument Technician"
"32",32,-118.3022375,33.8277903,"Instrument Technician"
"33",33,-118.167325,33.780292,"Instrument Technician"
"34",34,-118.2805565,34.0682408,"Instrument Technician"
"35",35,-122.617942,48.863028,"Instrument Technician"
"36",36,-117.780934,34.120315,"Instrument Technician"
"37",37,-118.430679,34.235083,"Instrument Technician"
"38",38,-118.130121,33.849781,"Instrument Technician"
"39",39,-118.0963117,33.8454753,"Instrument Technician"
"40",40,-117.789172,33.862929,"Instrument Technician"
"41",41,-118.3088004,33.7946858,"Instrument Technician"
"42",43,-122.505021,48.728133,"Instrument Technician"
"43",44,-118.3007967,34.0175145,"Instrument Technician"
"44",45,-117.876945,33.921062,"Instrument Technician"
"45",46,-118.3288138,33.9275088,"Instrument Technician"
"46",47,-118.575214,34.190959,"Instrument Technician"
"47",48,-117.909361,33.789797,"Instrument Technician"
"48",49,-118.266443,33.826544,"Instrument Technician"
"49",50,-118.179905,34.472259,"Instrument Technician"
"50",51,-118.1598,34.056992,"Instrument Technician"
"51",52,-118.464476,34.00229,"Instrument Technician"
"52",53,-117.892401,33.83041,"Instrument Technician"
"53",54,-118.1349013,33.8960732,"Instrument Technician"
"54",55,-118.1832078,33.8537106,"Instrument Technician"
"55",56,-118.115143,33.9461769,"Instrument Technician"
"56",57,-117.9030334,33.7859261,"Instrument Technician"
"57",58,-118.3506818,33.9640063,"Instrument Technician"
"58",59,-118.27893,33.811471,"Instrument Technician"
"59",60,-118.213014,33.791026,"Instrument Technician"
"60",61,-117.800337,33.6719606,"Instrument Technician"
"61",62,-120.8996726,39.9337044,"Instrument Technician"
"62",63,-118.388457,33.853554,"Instrument Technician"
"63",64,-117.6919877,33.4698381,"Instrument Technician"
"64",65,-98.5870995,29.4926061,"Instrument Technician"
"65",66,-118.53777,34.459164,"Instrument Technician"
"66",67,-84.782483,34.033564,"Instrument Technician"
"67",68,-120.497839,46.598041,"Instrument Technician"
"68",69,-120.53657,46.587774,"Instrument Technician"
"69",70,-120.55951,46.5987269,"Instrument Technician"
"70",71,-120.454431,46.4900639,"Instrument Technician"
"71",72,-118.160277,33.767515,"Instrument Technician"
"72",73,-123.050609,44.0806528,"Instrument Technician"
"73",74,-123.184688,44.0679467,"Instrument Technician"
"74",75,-120.590104,46.592991,"Instrument Technician"
"75",76,-120.4525365,46.599038,"Instrument Technician"
"76",77,-118.293429,33.7384115,"Instrument Technician"
"77",78,-119.170696,34.155378,"Instrument Technician"
