"","X","lon","lat","job"
"1",1,-117.9375407,33.8712956,"Machinist/Millwright/Mechanic"
"2",2,-118.3204996,33.8953975,"Machinist/Millwright/Mechanic"
"3",3,-118.3078084,33.8277704,"Machinist/Millwright/Mechanic"
"4",4,-118.3078084,33.8277704,"Machinist/Millwright/Mechanic"
"5",5,-118.1962285,33.7774513,"Machinist/Millwright/Mechanic"
"6",6,-118.272983,33.818643,"Machinist/Millwright/Mechanic"
"7",7,-118.3125537,33.7543126,"Machinist/Millwright/Mechanic"
"8",8,-118.296287,33.739424,"Machinist/Millwright/Mechanic"
"9",9,-118.299874,33.982981,"Machinist/Millwright/Mechanic"
"10",10,-118.130438,33.8786176,"Machinist/Millwright/Mechanic"
"11",11,-118.196658,33.80536,"Machinist/Millwright/Mechanic"
"12",12,-118.3057392,33.8318122,"Machinist/Millwright/Mechanic"
"13",13,-117.1497517,33.7266759,"Machinist/Millwright/Mechanic"
"14",14,-118.318193,33.755877,"Machinist/Millwright/Mechanic"
"15",15,-118.1251282,33.9628892,"Machinist/Millwright/Mechanic"
"16",16,-118.361547,33.876885,"Machinist/Millwright/Mechanic"
"17",17,-118.250515,33.886624,"Machinist/Millwright/Mechanic"
"18",18,-118.075238,33.834757,"Machinist/Millwright/Mechanic"
"19",19,-118.24272,33.827016,"Machinist/Millwright/Mechanic"
"20",20,-118.6848294,34.2794813,"Machinist/Millwright/Mechanic"
"21",21,-117.589226,34.020532,"Machinist/Millwright/Mechanic"
"22",22,-118.249164,33.786766,"Machinist/Millwright/Mechanic"
"23",23,-118.2849374,33.9187658,"Machinist/Millwright/Mechanic"
"24",24,-118.091897,33.974255,"Machinist/Millwright/Mechanic"
"25",25,-118.021513,33.789647,"Machinist/Millwright/Mechanic"
"26",26,-118.125374,33.969162,"Machinist/Millwright/Mechanic"
"27",27,-118.1210269,33.8627515,"Machinist/Millwright/Mechanic"
"28",28,-117.0253213,33.944748,"Machinist/Millwright/Mechanic"
"29",29,-117.473326,34.133985,"Machinist/Millwright/Mechanic"
"30",30,-118.0888749,34.1142796,"Machinist/Millwright/Mechanic"
"31",31,-118.301872,33.830954,"Machinist/Millwright/Mechanic"
"32",32,-118.159723,33.772399,"Machinist/Millwright/Mechanic"
"33",33,-118.1834619,33.9730317,"Machinist/Millwright/Mechanic"
"34",34,-118.273298,33.864721,"Machinist/Millwright/Mechanic"
"35",35,-118.1808806,33.8324374,"Machinist/Millwright/Mechanic"
"36",36,-118.2720584,33.772901,"Machinist/Millwright/Mechanic"
"37",37,-117.9512116,33.8124743,"Machinist/Millwright/Mechanic"
"38",38,-117.2262169,33.7445337,"Machinist/Millwright/Mechanic"
"39",39,-118.208907,33.883398,"Machinist/Millwright/Mechanic"
"40",40,-117.6662898,33.656454,"Machinist/Millwright/Mechanic"
"41",41,-118.238276,33.912223,"Machinist/Millwright/Mechanic"
"42",42,-118.285072,33.822278,"Machinist/Millwright/Mechanic"
"43",43,-118.266576,33.795003,"Machinist/Millwright/Mechanic"
"44",44,-118.297104,33.720854,"Machinist/Millwright/Mechanic"
"45",45,-117.381461,34.498886,"Machinist/Millwright/Mechanic"
"46",46,-118.1305328,33.8496371,"Machinist/Millwright/Mechanic"
"47",47,-118.289278,34.006141,"Machinist/Millwright/Mechanic"
"48",48,-118.2639541,33.8017325,"Machinist/Millwright/Mechanic"
"49",50,-118.290687,33.721682,"Machinist/Millwright/Mechanic"
"50",51,-111.7632776,33.4521565,"Machinist/Millwright/Mechanic"
"51",52,-118.161999,33.7743592,"Machinist/Millwright/Mechanic"
"52",53,-118.314178,33.808225,"Machinist/Millwright/Mechanic"
"53",54,-118.312841,33.973932,"Machinist/Millwright/Mechanic"
"54",55,-118.297277,33.759631,"Machinist/Millwright/Mechanic"
"55",56,-118.074536,33.8414209,"Machinist/Millwright/Mechanic"
"56",57,-118.176866,33.8595906,"Machinist/Millwright/Mechanic"
"57",58,-117.763502,34.130797,"Machinist/Millwright/Mechanic"
"58",59,-117.3415226,34.094189,"Machinist/Millwright/Mechanic"
"59",60,-118.1591475,33.8533355,"Machinist/Millwright/Mechanic"
"60",61,-118.044495,33.821785,"Machinist/Millwright/Mechanic"
"61",62,-118.1841481,33.8462935,"Machinist/Millwright/Mechanic"
"62",63,-118.282818,33.8291759,"Machinist/Millwright/Mechanic"
"63",64,-118.1097166,33.8801935,"Machinist/Millwright/Mechanic"
"64",65,-118.121855,33.862477,"Machinist/Millwright/Mechanic"
"65",66,-118.3584322,33.9053787,"Machinist/Millwright/Mechanic"
"66",67,-117.2299884,33.7333681,"Machinist/Millwright/Mechanic"
"67",68,-118.221606,33.821733,"Machinist/Millwright/Mechanic"
"68",69,-118.274274,33.984864,"Machinist/Millwright/Mechanic"
"69",70,-118.2436849,34.0522342,"Machinist/Millwright/Mechanic"
"70",71,-118.31652,33.797114,"Machinist/Millwright/Mechanic"
"71",72,-118.2493075,33.8916932,"Machinist/Millwright/Mechanic"
"72",73,-118.210791,33.794462,"Machinist/Millwright/Mechanic"
"73",74,-118.316149,33.976025,"Machinist/Millwright/Mechanic"
"74",75,-118.1452093,33.9352901,"Machinist/Millwright/Mechanic"
"75",76,-117.8911846,34.0319722,"Machinist/Millwright/Mechanic"
"76",77,-118.1862255,33.8209299,"Machinist/Millwright/Mechanic"
