"","X","lon","lat","job"
"1",1,-118.2628711,33.8074479,"Pipefitter"
"2",2,-118.255358,33.790598,"Pipefitter"
"3",3,-95.244422,29.645189,"Pipefitter"
"4",4,-118.163201,33.909762,"Pipefitter"
"5",5,-118.269528,33.801445,"Pipefitter"
"6",6,-118.0939659,33.8999088,"Pipefitter"
"7",7,-118.166635,33.789156,"Pipefitter"
"8",8,-118.198781,34.616857,"Pipefitter"
"9",9,-118.0945485,33.8327299,"Pipefitter"
"10",10,-118.211825,33.81371,"Pipefitter"
"11",11,-118.3251514,33.7407823,"Pipefitter"
"12",12,-117.238912,33.96015,"Pipefitter"
"13",13,-117.859398,33.987966,"Pipefitter"
"14",14,-118.3195719,33.8164932,"Pipefitter"
"15",15,-118.1678456,33.8044614,"Pipefitter"
"16",17,-118.145885,33.781191,"Pipefitter"
"17",18,-117.910849,33.815688,"Pipefitter"
"18",19,-118.201407,33.7957139,"Pipefitter"
"19",20,-118.174695,33.8610029,"Pipefitter"
"20",21,-118.345292,34.027096,"Pipefitter"
"21",22,-118.174562,33.85118,"Pipefitter"
"22",23,-118.110792,33.8731061,"Pipefitter"
"23",24,-117.8788978,33.8855502,"Pipefitter"
"24",25,-118.4640617,33.9995157,"Pipefitter"
"25",26,-118.2104625,33.8217883,"Pipefitter"
"26",27,-118.283758,33.79182,"Pipefitter"
"27",28,-117.9594514,33.675801,"Pipefitter"
"28",29,-118.5671775,34.2190641,"Pipefitter"
"29",30,-118.270099,33.773003,"Pipefitter"
"30",31,-118.2209802,33.8341656,"Pipefitter"
"31",32,-93.99117,29.97915,"Pipefitter"
"32",33,-118.0823148,33.9219677,"Pipefitter"
"33",34,-118.276273,33.792042,"Pipefitter"
"34",35,-118.283432,33.812892,"Pipefitter"
"35",36,-118.2196016,33.8579035,"Pipefitter"
"36",37,-111.877389,40.427027,"Pipefitter"
"37",38,-118.281693,33.8316745,"Pipefitter"
"38",39,-118.3406288,33.8358492,"Pipefitter"
"39",40,-117.907102,33.6620704,"Pipefitter"
"40",41,-118.2657124,33.8071418,"Pipefitter"
"41",42,-118.365127,33.9123159,"Pipefitter"
"42",43,-118.130075,33.877353,"Pipefitter"
"43",44,-111.7632776,33.4521565,"Pipefitter"
"44",45,-118.297104,33.720854,"Pipefitter"
"45",46,-118.1559781,33.8759177,"Pipefitter"
"46",47,-118.363284,33.963864,"Pipefitter"
"47",48,-118.1210269,33.8627515,"Pipefitter"
"48",49,-118.2947814,33.7320424,"Pipefitter"
"49",50,-118.2759352,33.8374073,"Pipefitter"
"50",51,-118.2186178,33.8289679,"Pipefitter"
"51",52,-118.095413,33.906386,"Pipefitter"
"52",53,-118.2887946,33.7287737,"Pipefitter"
"53",54,-118.2699684,33.9022034,"Pipefitter"
"54",55,-105.030795,39.9965059,"Pipefitter"
"55",56,-118.1791392,33.7898635,"Pipefitter"
"56",57,-96.553672,28.68058,"Pipefitter"
"57",58,-118.2131972,33.7898188,"Pipefitter"
"58",59,-117.4540611,33.7443193,"Pipefitter"
"59",60,-117.2523411,33.6732866,"Pipefitter"
"60",61,-118.101349,33.950629,"Pipefitter"
"61",62,-118.1115696,34.0199198,"Pipefitter"
"62",63,-118.265218,33.819612,"Pipefitter"
"63",64,-118.2879016,34.0099111,"Pipefitter"
"64",65,-118.267085,33.8144577,"Pipefitter"
"65",66,-118.1145803,33.9468059,"Pipefitter"
"66",67,-118.1591475,33.8533355,"Pipefitter"
"67",68,-118.08447,33.9685784,"Pipefitter"
"68",69,-118.1841481,33.8462935,"Pipefitter"
"69",70,-118.2874595,34.0924473,"Pipefitter"
"70",71,-118.241398,33.92146,"Pipefitter"
"71",72,-118.1552878,34.005722,"Pipefitter"
