"","X","lon","lat","job"
"1",1,-118.163201,33.909762,"Rigger"
"2",2,-117.336924,34.534861,"Rigger"
"3",3,-118.292218,33.7236059,"Rigger"
"4",4,-118.118267,33.857401,"Rigger"
"5",5,-118.3057392,33.8318122,"Rigger"
"6",6,-118.120429,33.983342,"Rigger"
"7",7,-117.970314,33.7910248,"Rigger"
"8",8,-118.165279,33.8458823,"Rigger"
"9",9,-118.194497,33.806486,"Rigger"
"10",10,-118.3187046,33.7392019,"Rigger"
"11",11,-118.159255,33.79629,"Rigger"
"12",12,-118.1845983,33.7780822,"Rigger"
"13",13,-118.09187,33.985933,"Rigger"
"14",14,-118.200722,33.887679,"Rigger"
"15",15,-118.2239958,34.0459198,"Rigger"
"16",16,-118.1144728,33.903409,"Rigger"
"17",17,-117.9894472,33.8646513,"Rigger"
"18",18,-118.3004186,33.7924742,"Rigger"
"19",19,-118.175745,33.7726929,"Rigger"
"20",20,-122.161838,37.763954,"Rigger"
"21",21,-118.1647898,33.8049793,"Rigger"
"22",22,-118.25642,33.9698109,"Rigger"
"23",23,-118.3188615,33.9326201,"Rigger"
"24",24,-118.118799,33.9078469,"Rigger"
"25",25,-118.1383262,33.9611469,"Rigger"
"26",26,-118.21909,33.837917,"Rigger"
"27",27,-118.29081,33.742647,"Rigger"
"28",28,-118.267836,33.914851,"Rigger"
"29",29,-118.2934228,33.8445925,"Rigger"
"30",30,-118.175745,33.7726929,"Rigger"
"31",31,-117.9509908,33.9325703,"Rigger"
"32",32,-118.158621,33.791123,"Rigger"
"33",33,-118.0084411,33.9195343,"Rigger"
"34",34,-118.0429847,33.7293739,"Rigger"
"35",35,-117.3765863,34.1301026,"Rigger"
"36",36,-118.081012,33.929611,"Rigger"
"37",37,-118.307013,33.7416991,"Rigger"
"38",38,-118.0809372,33.9013155,"Rigger"
"39",39,-118.270099,33.773003,"Rigger"
"40",40,-118.2134346,33.7981069,"Rigger"
"41",41,-118.306581,33.736739,"Rigger"
"42",42,-118.1856055,33.8213898,"Rigger"
"43",43,-118.2673065,33.8139181,"Rigger"
"44",44,-117.443864,33.9902019,"Rigger"
"45",45,-109.7320642,32.826042,"Rigger"
"46",46,-117.324421,34.536746,"Rigger"
"47",47,-118.127439,33.8504756,"Rigger"
"48",48,-117.9899796,34.152423,"Rigger"
"49",49,-117.859553,33.905113,"Rigger"
"50",50,-118.2657124,33.8071418,"Rigger"
"51",51,-118.137728,33.865135,"Rigger"
"52",52,-111.7632776,33.4521565,"Rigger"
"53",53,-118.098765,33.915534,"Rigger"
"54",54,-118.3030671,33.7866347,"Rigger"
"55",55,-118.3195719,33.8164932,"Rigger"
"56",56,-101.844936,35.168802,"Rigger"
"57",57,-118.270447,33.774935,"Rigger"
"58",58,-118.0430631,33.7143742,"Rigger"
"59",59,-117.7097631,34.0776602,"Rigger"
"60",60,-118.296281,33.79402,"Rigger"
"61",61,-118.4007,33.8656409,"Rigger"
"62",62,-118.1236372,34.3275614,"Rigger"
"63",63,-117.003321,33.720869,"Rigger"
"64",64,-118.1961354,33.8125895,"Rigger"
"65",65,-117.6752079,34.1157693,"Rigger"
"66",66,-98.1909861,26.3215158,"Rigger"
"67",67,-117.8728641,34.0855259,"Rigger"
"68",68,-118.117768,33.848407,"Rigger"
"69",69,-118.113882,33.852061,"Rigger"
"70",70,-118.282818,33.8291759,"Rigger"
"71",71,-118.188349,33.925044,"Rigger"
"72",72,-118.17191,33.902306,"Rigger"
"73",73,-118.372823,33.91762,"Rigger"
"74",74,-118.253668,33.855451,"Rigger"
"75",75,-118.305705,33.828291,"Rigger"
"76",77,-118.1987131,34.1257423,"Rigger"
"77",78,-118.040899,33.817186,"Rigger"
"78",79,-118.266576,33.795003,"Rigger"
"79",80,-118.1176572,33.8772072,"Rigger"
"80",81,-107.871201,38.468334,"Rigger"
"81",82,-118.1880633,33.9039673,"Rigger"
"82",83,-118.2475808,33.8302442,"Rigger"
"83",84,-118.2493075,33.8916932,"Rigger"
"84",85,-118.177726,33.7888779,"Rigger"
"85",86,-118.048894,33.851419,"Rigger"
"86",87,-118.1115696,34.0199198,"Rigger"
"87",88,-118.2579168,33.7820605,"Rigger"
"88",89,-118.95086,35.407739,"Rigger"
"89",90,-118.113046,33.879781,"Rigger"
"90",91,-117.938486,33.84266,"Rigger"
"91",92,-118.2869974,33.7127086,"Rigger"
"92",93,-118.2968567,33.7346893,"Rigger"
"93",94,-118.211369,33.908284,"Rigger"
"94",95,-117.300549,33.708474,"Rigger"
"95",97,-118.093045,33.937993,"Rigger"
"96",98,-118.301765,33.762557,"Rigger"
"97",99,-118.1010897,34.0078171,"Rigger"
"98",100,-117.9940271,33.7860295,"Rigger"
"99",101,-117.0328537,34.0317911,"Rigger"
"100",102,-101.4028825,35.6797381,"Rigger"
"101",103,-117.501502,33.783811,"Rigger"
"102",104,-117.713674,34.050073,"Rigger"
"103",105,-118.157097,33.786485,"Rigger"
"104",106,-118.0894981,33.9261373,"Rigger"
"105",107,-118.346691,33.8248967,"Rigger"
"106",108,-118.2284803,33.9358873,"Rigger"
"107",109,-117.907835,33.7949569,"Rigger"
"108",110,-118.07886,34.004537,"Rigger"
"109",111,-118.178851,33.882126,"Rigger"
"110",112,-118.2907372,33.7468362,"Rigger"
"111",113,-118.2863073,33.7909729,"Rigger"
"112",114,-118.0425033,33.7228532,"Rigger"
"113",115,-118.252431,33.7854143,"Rigger"
"114",116,-117.9952106,33.6941343,"Rigger"
"115",117,-118.2692077,33.7913408,"Rigger"
"116",118,-118.186963,33.7922036,"Rigger"
"117",119,-117.889701,33.740604,"Rigger"
"118",120,-118.0401411,33.9644821,"Rigger"
"119",121,-117.789172,33.862929,"Rigger"
"120",122,-106.3594941,31.7502639,"Rigger"
"121",123,-118.262286,33.7956,"Rigger"
"122",124,-118.095491,33.79056,"Rigger"
"123",125,-118.0388386,33.9835878,"Rigger"
"124",126,-117.198035,33.835863,"Rigger"
"125",127,-91.5402903,29.844909,"Rigger"
"126",128,-118.1763533,33.7712832,"Rigger"
"127",129,-118.2706382,33.9072276,"Rigger"
"128",130,-149.606707,61.526925,"Rigger"
"129",131,-118.2609865,33.7762458,"Rigger"
"130",132,-117.876945,33.921062,"Rigger"
"131",133,-117.8880198,33.7952925,"Rigger"
"132",134,-118.125896,33.897312,"Rigger"
"133",135,-118.026348,33.9304837,"Rigger"
"134",136,-117.600381,34.102418,"Rigger"
"135",137,-118.270962,33.837296,"Rigger"
"136",138,-118.2704743,33.9072463,"Rigger"
"137",139,-118.2846529,33.8239979,"Rigger"
"138",140,-118.1962285,33.7774513,"Rigger"
"139",141,-118.298254,33.802307,"Rigger"
"140",142,-118.009885,33.845842,"Rigger"
"141",143,-76.1135235,36.8346738,"Rigger"
"142",144,-118.297493,33.728558,"Rigger"
"143",145,-77.3721147,37.2039385,"Rigger"
"144",146,-97.257695,33.3225045,"Rigger"
"145",147,-118.081083,33.9350513,"Rigger"
"146",148,-118.1591456,33.851433,"Rigger"
"147",149,-118.1363375,33.9064416,"Rigger"
"148",150,-118.151611,33.783841,"Rigger"
"149",151,-118.2340353,33.8892862,"Rigger"
"150",152,-118.3120295,34.0450067,"Rigger"
"151",153,-118.2753809,33.9397372,"Rigger"
"152",154,-118.130108,33.852632,"Rigger"
"153",155,-118.2947776,33.7391877,"Rigger"
"154",156,-118.124679,33.8265023,"Rigger"
"155",157,-118.31652,33.797114,"Rigger"
"156",158,-118.213014,33.791026,"Rigger"
"157",159,-117.937289,33.864227,"Rigger"
"158",160,-118.269447,33.820012,"Rigger"
"159",161,-118.0879108,33.8408394,"Rigger"
"160",162,-118.2693447,33.9728143,"Rigger"
"161",163,-118.005976,33.8289668,"Rigger"
"162",164,-118.300915,33.721839,"Rigger"
"163",165,-117.9795704,34.0720689,"Rigger"
"164",166,-117.191378,33.719726,"Rigger"
"165",167,-117.367647,35.793106,"Rigger"
"166",168,-118.28491,33.745349,"Rigger"
"167",169,-118.2699352,33.7742335,"Rigger"
"168",170,-118.266368,33.904286,"Rigger"
"169",171,-118.266368,33.904286,"Rigger"
"170",172,-118.130128,33.856756,"Rigger"
"171",173,-118.043259,33.942488,"Rigger"
"172",174,-118.15493,33.883274,"Rigger"
"173",175,-118.119413,33.8527253,"Rigger"
"174",176,-82.6861009,27.797145,"Rigger"
"175",177,-117.419123,34.082387,"Rigger"
"176",178,-118.254104,33.887002,"Rigger"
"177",179,-118.1302889,33.8866825,"Rigger"
"178",180,-118.2736241,33.8246091,"Rigger"
"179",181,-118.286847,33.7258,"Rigger"
"180",182,-118.2001966,33.869173,"Rigger"
"181",183,-118.155426,33.973206,"Rigger"
"182",184,-118.291621,33.818109,"Rigger"
