"Rank","Team","Majors_Total"
1,"Sandy Man",7424400
2,"Dammit John",6793038
3,"Wanger's Birdie Machines",6761151
4,"H-Town Bites",6732294
5,"Dan Schultz",6520046
6,"Jurgy/Janke 1",6137735
7,"Bob Kodelka",5855396
8,"Sauced Leprechauns",5816645
9,"Frank M",5711139
10,"Beegreen",5612872
11,"Tori",5568843
12,"The Cat Burglar",5399424
13,"Vermy Verm Redux",5117657
14,"Blake the Snake",4981326
15,"Captain Geech",4875186
16,"Snap Hooks",4853801
17,"15 Clubs",4640463
18,"Give Me An 8",4473353
19,"Robert Bouchie",4473329
20,"Big Evans",4199627
21,"Team Brokeroke",4185581
22,"Mark M",4183504
23,"Carla Norling",3990721
24,"Uncle Jim",3899386
25,"6 Deep",3779940
26,"Eighteen Birdies",3778473
27,"Jamie Ross",3638186
28,"Pound Town",3546818
29,"Begreen 2",3393444
30,"Steve Jones",2982209
31,"Craig Fuller",2971690
32,"Sirloin",2966674
33,"Vic Ferrari",2930649
34,"Dixon Bounce",2885342
35,"Jack Jurgy",2858463
36,"Robbie Hart",2802586
37,"Birdie Train",2776878
38,"Johnson to Johnson",2752935
39,"Scott Sperry",2615592
40,"Gretzky's Gallery",2569901
41,"Mike Smiths Squad",2543144
42,"The Dog",2525663
43,"Kenny DeJeung",2398086
44,"Vermy Verm",2211522
45,"Long Ballin' Hitters",2081490
46,"Angel Suarez",1999896
47,"Boot Daddy",1983507
48,"Jeff Grant",1972586
49,"Ron Fuller",1912599
50,"Jurgy/Janke 2",1882016
51,"Henry Roth",1640190
52,"The One Hole",1429249
